id,mmsi,navigationalstatus,sog,cog,heading,shiptype
147,636981321,Under way using engine,16.4,208.8,212,Bulk Carrier
148,743869238,Under way using engine,11.4,159.3,157,Military
149,776212789,Under way using engine,12.1,340,337,Military
150,654212376,Unknown value,0,,,Bulk Carrier
151,367135508,Under way using engine,13.8,40,38,Military
152,318803400,Under way using engine,9.2,318,317,SAR
153,223674740,Under way using engine,9,262,264,Bulk Carrier
154,115484330,Under way using engine,9.4,317,316,Cargo
155,302524495,Under way using engine,12.7,135.3,137,Tanker
156,194315974,Under way using engine,9.3,316.9,314,Bulk Carrier
157,748359082,Unknown value,0,73.2,,Bulk Carrier
158,102823844,Under way using engine,9.1,180,180,Tanker
159,151536229,Under way using engine,8.6,344.9,345,Warship
160,199823362,Under way using engine,14.4,37,38,Cargo
161,280180834,Moored,0,0,0,Warship
162,184468156,Under way using engine,12.1,339.7,337,Bulk Carrier
163,354275108,Under way using engine,17.1,141,141,Cargo
164,512508476,Under way using engine,12.6,338.6,333,Warship
165,410212586,Constrained by her draught,12.8,340.2,336,Cargo
166,775584432,Under way using engine,10.9,194.3,192,SAR
167,678370589,Moored,0.1,183.5,,SAR
168,357009219,Under way using engine,12.4,169.3,172,Cargo
169,273188266,Under way using engine,16.2,134,137,Warship
170,585037728,Under way using engine,12.7,135.3,137,Warship
171,697722842,Under way using engine,15.7,345.7,347,Military
172,998348885,Moored,0,294,294,Tanker
173,393983677,Under way using engine,11.8,157.1,158,Cargo
174,162332603,Under way using engine,15.5,158,160,Cargo
175,502000739,Under way using engine,16.5,33,34,Military
176,588948101,Unknown value,0,7.9,,Military
177,516856318,Under way using engine,9.5,318,316,Bulk Carrier
178,543280383,Under way using engine,4.2,0.8,,Warship
179,698838175,Under way using engine,13.6,340.5,339,Bulk Carrier
180,326487468,Under way using engine,13.1,135.8,135,Bulk Carrier
181,140025749,Under way using engine,12.6,141.6,143,Bulk Carrier
182,404427774,Under way using engine,14.6,138.1,137,Tanker
183,572496461,Under way using engine,9.4,213.3,217,Cargo
184,820599699,Under way using engine,13.4,173,176,Military
185,837346819,Under way using engine,14.5,94.3,92,Bulk Carrier
186,327591043,Under way using engine,9.5,160.7,163,SAR
187,923353952,Under way using engine,16,210.1,213,Tanker
188,723782152,Under way using engine,12.8,180.2,179,SAR
189,737287370,Constrained by her draught,11.9,345.9,344,Warship
190,102726167,Under way using engine,12.2,342.8,341,Cargo
191,199103396,Under way using engine,14.7,162,161,Cargo
192,674532479,Under way using engine,6.9,164.4,167,Military
193,573329483,Under way using engine,12.9,137.4,137,SAR
194,509052957,Under way using engine,9.9,333.5,336,Bulk Carrier
195,849555539,Under way using engine,16.4,158.2,159,Cargo
196,425426320,Under way using engine,10.6,341,340,Military
197,946519791,Under way using engine,12.7,338.8,334,Warship
198,494178530,Under way using engine,16.2,134.4,136,Warship
199,534929894,Under way using engine,8.4,316.7,314,Bulk Carrier
200,696236438,Under way using engine,15.4,163.7,165,Military
201,921261631,Under way using engine,0,335.3,79,Bulk Carrier
202,296895108,Under way using engine,12.6,146,147,Cargo
203,151577879,Under way using engine,12.2,172.5,172,Cargo
204,555496169,Moored,0,179.3,77,Bulk Carrier
205,526424669,Under way using engine,16.3,33,33,SAR
206,740512328,Under way using engine,13.4,291.7,292,Bulk Carrier
207,419389885,Under way using engine,12.2,160,163,Warship
208,785073927,Under way using engine,10.8,339,339,Military
209,163911623,Moored,12,68,59,Cargo
210,568102153,Under way using engine,10.6,324.1,324,Tanker
211,116261430,Constrained by her draught,11.1,30.2,29,Bulk Carrier
212,512713729,Under way using engine,9.7,135.4,137,SAR
213,727085570,Under way using engine,12.8,134.7,137,Tanker
214,724055510,Under way using engine,9.6,158.5,162,Tanker
215,186715557,Under way using engine,13.1,35.7,35,SAR
216,792641623,Under way using engine,16.3,134.5,137,SAR
217,852389254,Under way using engine,8.7,288.7,283,Warship
218,468568729,Under way using engine,8.5,270,269,Military
219,746539301,Under way using engine,10.7,184.9,185,Cargo
220,591833323,Under way using engine,11.7,341.5,337,SAR
221,366303302,Under way using engine,14.4,146.1,146,SAR
222,833551330,Under way using engine,8.6,317.5,314,Cargo
223,479822638,Under way using engine,7,210.4,213,Cargo
224,698865148,Under way using engine,16.8,147.7,148,Tanker
225,249942937,Under way using engine,7.4,270,269,Cargo
226,602941447,Under way using engine,9.9,167,168,Bulk Carrier
227,369648954,Under way using engine,12.1,162,163,Military
228,525703871,Moored,11.4,328,334,Cargo
229,649170750,Under way using engine,15.5,40,39,Warship
230,822172784,Under way using engine,7.8,183,184,Cargo
231,920456361,Unknown value,0,0,,Bulk Carrier
232,168041089,Under way using engine,15.6,214.5,219,Bulk Carrier
233,551636732,Under way using engine,14.3,94,92,Tanker
234,820515297,Under way using engine,13.2,209.1,208,Bulk Carrier
235,393098250,Under way using engine,12.7,353.8,351,Military
236,711483265,Under way using engine,11.9,337.8,338,Warship
237,739563524,Under way using engine,9.7,346.4,347,Cargo
238,306256885,Under way using engine,17.1,146.3,146,Tanker
239,400454389,Under way using engine,11.8,338,338,Bulk Carrier
240,810312012,Under way using engine,8.5,349.6,349,Warship
241,980150643,Unknown value,0.1,158.2,,Tanker
242,306453972,Under way using engine,11.6,343.8,341,Tanker
243,256034189,Under way using engine,14.1,162.9,165,SAR
244,243951992,Under way using engine,12.7,157,158,Tanker
245,797225419,Under way using engine,10.7,185.1,186,Military
246,938148345,Under way using engine,10,344.2,344,SAR
247,518754844,Under way using engine,13.2,208.3,207,Bulk Carrier
248,855879832,Under way using engine,12.8,35.4,36,Warship
249,131112834,Under way using engine,9.2,269.5,275,Warship
250,127179307,Under way using engine,12.4,342.5,343,Warship
251,615733950,Under way using engine,12.7,133.6,137,Cargo
252,602113271,Under way using engine,10,314.9,317,Bulk Carrier
253,219873634,Under way using engine,15.6,347.3,347,Cargo
254,603631042,Under way using engine,16.1,134.7,138,Warship
255,251195548,Under way using engine,10.5,339.2,339,Tanker
256,566710756,Under way using engine,15.9,34,34,Cargo
257,281946506,Under way using engine,12.7,135.7,138,Tanker
258,425206415,Under way using engine,15.6,346.7,347,SAR
259,297198319,Under way using engine,12.3,337.6,337,Cargo
260,351945984,Under way using engine,10,345.8,345,Tanker
261,305255859,Under way using engine,12.3,152.8,155,Warship
262,966795210,Under way using engine,9.7,346.1,347,Military
263,852219392,Under way using engine,9.3,179.2,185,Bulk Carrier
264,626030221,Under way using engine,10.8,166.1,168,SAR
265,294908492,Under way using engine,9.9,166,171,Bulk Carrier
266,325838695,Under way using engine,10.8,185.5,186,Warship
267,725972036,Under way using engine,11.4,162.5,161,SAR
268,187905729,Under way using engine,10.8,292.3,291,Tanker
269,845099467,Under way using engine,11.3,342,338,Warship
270,505599408,Under way using engine,15.3,36,37,Cargo
271,341078905,Under way using engine,9.7,359.4,358,Cargo
272,603926947,Under way using engine,9.4,317.1,315,Warship
273,641267062,Constrained by her draught,12.9,340,337,Tanker
274,356693626,Under way using engine,8.4,345.2,345,SAR
275,103612596,Under way using engine,15,160,161,Warship
276,275913416,Under way using engine,12.8,170.2,172,Bulk Carrier
277,761400905,Under way using engine,12.8,170.5,172,Warship
278,122608835,Under way using engine,10.8,323.4,322,Bulk Carrier
279,551277545,Under way using engine,11.5,339.1,338,SAR
280,804195101,Under way using engine,11.2,5,7,Bulk Carrier
281,730827597,Under way using engine,11.5,338.5,337,Cargo
282,139211822,Under way using engine,14.6,94.1,91,Cargo
283,642205731,Under way using engine,15,159.9,161,SAR
284,749738247,Under way using engine,13.1,337.5,335,Bulk Carrier
285,827992477,Under way using engine,12.3,316.9,315,Cargo
286,444041043,Under way using engine,14.5,160.3,163,Military
287,384283458,Under way using engine,11.1,165.5,169,Tanker
288,598098609,Under way using engine,13.2,182.8,183,SAR
289,336899430,Under way using engine,11.6,271,271,Military
290,274914368,Under way using engine,13.2,337.9,336,Military
291,754799971,Under way using engine,14.1,163.6,164,Military
292,132395303,Under way using engine,9.4,212.3,214,Tanker
293,874503810,Under way using engine,14.9,157.9,160,SAR
294,268651324,Under way using engine,9.5,337.6,342,Military
295,508190730,Under way using engine,11.5,341.6,340,Warship
296,665598266,Under way using engine,9.7,319,316,Cargo
297,471742706,Under way using engine,12.9,159,158,Cargo
298,721287703,Constrained by her draught,12.8,339.7,337,Bulk Carrier
299,993018780,Under way using engine,8.7,205.9,204,Tanker
300,211210442,Under way using engine,12.3,317.2,316,Cargo
301,609418845,Under way using engine,15.6,241.7,244,Military
302,453637492,Under way using engine,7.8,185.5,184,Bulk Carrier
303,393708465,Under way using engine,15.5,242.7,245,Cargo
304,174855231,Under way using engine,12.5,162.3,166,Bulk Carrier
305,115287758,Under way using engine,11.2,8,9,Cargo
306,761229090,Under way using engine,8.9,288.1,286,Military
307,406451468,Under way using engine,15.8,34,33,Tanker
308,342690945,Under way using engine,8.1,269,272,Bulk Carrier
309,738643422,Constrained by her draught,11.8,341,340,SAR
310,818108965,Under way using engine,9.9,132.5,139,Warship
311,532638956,Under way using engine,13.1,36.9,35,SAR
312,221200620,Constrained by her draught,11.9,340.6,340,Bulk Carrier
313,120553363,Under way using engine,22.9,169.2,171,Warship
314,951524223,Under way using engine,15.1,36,35,Military
315,890948148,Under way using engine,16.4,189.8,193,SAR
316,218218556,Under way using engine,11.5,335.7,335,Bulk Carrier
317,178683246,Under way using engine,8.6,205.3,204,Cargo
318,893153513,Under way using engine,16.1,128.4,133,SAR
319,962536685,Under way using engine,12,155,154,Bulk Carrier
320,727513119,Under way using engine,16.5,13.5,11,Military
321,977039745,Under way using engine,8.6,317.2,312,Military
322,717775582,Under way using engine,9.3,209.2,211,SAR
323,683116118,Under way using engine,10.8,324.6,321,Cargo
324,605396612,Under way using engine,12.5,339.4,339,Military
325,873349115,Under way using engine,12.5,131.9,138,Warship
326,283562654,Under way using engine,9.7,269.8,274,Bulk Carrier
327,187530889,Under way using engine,14.8,158.1,159,Cargo
328,322900269,Under way using engine,12,161,162,SAR
329,846908480,Under way using engine,11.4,163.1,160,Warship
330,710994775,Under way using engine,9.5,317.4,313,Warship
331,193369274,Under way using engine,10,135.8,140,Cargo
332,198428650,Under way using engine,14.5,93.4,91,Cargo
333,398174249,Under way using engine,10,346.1,345,SAR
334,449360958,Under way using engine,9.6,317,316,Tanker
335,478261399,Under way using engine,12.9,133.8,137,Bulk Carrier
336,560044019,Under way using engine,16.4,129.1,133,Tanker
337,872594334,Under way using engine,11.7,342,338,Bulk Carrier
338,224815172,Under way using engine,9.6,147.8,148,SAR
339,188429126,Under way using engine,12.9,135.7,138,Military
340,413830288,Under way using engine,16,36,34,Tanker
341,175541497,Constrained by her draught,11.7,355.2,355,Tanker
342,336272697,Under way using engine,9.6,289.5,286,Bulk Carrier
343,451382643,Under way using engine,15.7,345.3,345,Cargo
344,177158212,Under way using engine,11.7,282,282,Cargo
345,511339594,Under way using engine,15.7,243.9,245,SAR
346,769236565,Under way using engine,13,205.5,205,Tanker
347,447036072,Moored,11.5,327,329,Military
348,432695308,Under way using engine,11.5,353.5,358,Bulk Carrier
349,893003974,Under way using engine,12.6,206.5,205,Cargo
350,710280242,Under way using engine,14.4,160.8,163,Bulk Carrier
351,711865120,Under way using engine,7.7,184.4,185,Military
352,553171997,Moored,11.6,327,329,Tanker
353,652367808,Under way using engine,9.7,170,169,Tanker
354,950373579,Under way using engine,12.1,338.9,338,Bulk Carrier
355,949767984,Under way using engine,12,338.9,338,SAR
356,169383715,Under way using engine,11.7,336.1,336,Bulk Carrier
357,197437076,Under way using engine,12.7,137.9,142,Tanker
358,304935467,Under way using engine,9.5,148.1,147,Military
359,632359499,Under way using engine,12.1,56.7,57,Military
360,981311171,Under way using engine,9.8,316.2,316,Bulk Carrier
361,391543763,Under way using engine,13.2,34.2,32,Warship
362,823030295,Under way using engine,12,160.2,165,Bulk Carrier
363,547847805,Under way using engine,14.8,21,19,Cargo
364,910655399,Under way using engine,16.5,137.5,141,Tanker
365,459299803,Under way using engine,11.7,325.3,329,Cargo
366,207983156,Under way using engine,12.1,341.2,339,Military
367,220150612,Under way using engine,9.1,331.4,332,Warship
368,507115467,Under way using engine,14.7,162.6,162,Military
369,744234292,Under way using engine,13,141.9,142,Bulk Carrier
370,610971997,Under way using engine,14.7,110.2,110,Bulk Carrier
371,371717722,Constrained by her draught,12.8,338.3,337,Warship
372,925204153,Under way using engine,14.4,161.6,163,Tanker
373,602890339,Under way using engine,11.7,183.2,183,Cargo
374,531901034,Under way using engine,7.2,165.6,166,Tanker
375,201195176,Under way using engine,12.1,153.2,153,Military
376,345804663,Under way using engine,14.5,158.9,160,Military
377,545144204,Under way using engine,8.7,286.5,283,Warship
378,335325268,Under way using engine,13.6,165.8,168,Bulk Carrier
379,812234938,Under way using engine,11.3,167.8,169,Military
380,904072866,Under way using engine,13.1,189.1,190,Bulk Carrier
381,354986567,Under way using engine,10,339.9,340,Military
382,190160850,Under way using engine,11.4,339,339,Tanker
383,457446790,Under way using engine,13.4,193,194,Cargo
384,619403732,Under way using engine,9.5,304,306,Military
385,692082845,Under way using engine,13.2,318.6,317,Warship
386,817869807,Under way using engine,16.6,4.7,5,SAR
387,598860059,Under way using engine,12,356.7,358,Warship
388,394902430,Under way using engine,11.7,327,328,Tanker
389,169597329,Under way using engine,8.2,271,268,Military
390,536883387,Under way using engine,9.5,270,273,SAR
391,531108826,Under way using engine,9.8,345.4,344,Tanker
392,236277121,Under way using engine,10.3,344.2,342,SAR
393,715219137,Under way using engine,11.5,341,341,Military
394,645904471,Under way using engine,15.9,244.6,245,SAR
395,390542897,Under way using engine,12,58.2,57,Warship
396,530446787,Under way using engine,11.6,328.6,328,SAR
397,724248898,Under way using engine,10.6,222,225,Warship
398,503518564,Under way using engine,8.3,350.7,349,Bulk Carrier
399,914470104,Under way using engine,9.8,346.2,346,SAR
400,293497865,Under way using engine,12.9,138.8,142,Military
401,670148438,Under way using engine,10,340.8,340,Warship
402,701641506,Under way using engine,16.3,36,34,Cargo
403,904378187,Under way using engine,10.4,7.4,11,Tanker
404,724290031,Under way using engine,13.4,33.3,30,Bulk Carrier
405,680709053,Under way using engine,12.2,161,161,Military
406,686782836,Under way using engine,13.3,318.5,317,Bulk Carrier
407,919592234,Under way using engine,10.3,139,141,Warship
408,647264063,Under way using engine,8.1,331.8,332,Warship
409,375849047,Unknown value,0,0,,Cargo
410,774176084,Under way using engine,16.4,37,34,SAR
411,310171283,Under way using engine,12.1,159.7,165,Bulk Carrier
412,462914929,Under way using engine,13.2,133.1,134,Military
413,681011354,Under way using engine,8.7,189.5,190,Tanker
414,440436907,Unknown value,0,32,,Cargo
415,946411668,Constrained by her draught,12.3,341.5,343,Military
416,755620703,Under way using engine,15,161.2,160,Warship
417,872555431,Under way using engine,14.9,44.1,49,Bulk Carrier
418,717008142,Under way using engine,10.2,345,353,Cargo
419,827412618,Unknown value,0,24.3,,Warship
420,975484130,Under way using engine,10.8,323.8,322,Cargo
421,477657561,Under way using engine,9.8,312.2,310,Cargo
422,741691580,Under way using engine,14.1,165.3,167,Cargo
423,610250890,Under way using engine,15.6,347.3,346,Bulk Carrier
424,757517493,Under way using engine,8.5,349.1,347,SAR
425,209639262,Under way using engine,10.8,322.7,322,SAR
426,168301520,Under way using engine,6.9,295.6,303,SAR
427,147758408,Under way using engine,13.1,139.7,140,Warship
428,661140907,Under way using engine,13,208.9,210,Bulk Carrier
429,130741786,Under way using engine,12,199.7,199,Cargo
430,716488380,Under way using engine,12.3,161,162,Military
431,371742399,Under way using engine,16.5,137.5,138,Cargo
432,302224990,Under way using engine,10.8,133.5,131,Bulk Carrier
433,695121613,Constrained by her draught,13,339.5,339,Tanker
434,164703520,Under way using engine,16.5,137.5,138,SAR
435,733821336,Under way using engine,12.3,152.9,154,Warship
436,523357017,Under way using engine,10.8,133.8,131,Cargo
437,985197744,Constrained by her draught,12,358.8,0,Warship
438,300525237,Under way using engine,16.9,245,245,Bulk Carrier
439,384347314,Under way using engine,8.8,335.9,335,Bulk Carrier
440,708820267,Under way using engine,13.7,171.4,174,Tanker
441,227205833,Under way using engine,8.1,333,332,Bulk Carrier
442,852924342,Under way using engine,8.8,181.5,181,SAR
443,535157592,Under way using engine,12,339.6,337,Cargo
444,661156163,Under way using engine,8.6,300.5,302,Warship
445,758880135,Under way using engine,9.5,355.3,356,Military
446,975078138,Under way using engine,9.2,213.2,218,Bulk Carrier
447,599619396,Under way using engine,14.6,160,160,Bulk Carrier
448,676643819,Under way using engine,6.4,24.7,25,SAR
449,662127118,Under way using engine,9,231.2,230,SAR
450,540893425,Under way using engine,13.9,168.2,170,Warship
451,708479685,Under way using engine,15.7,345.5,343,Warship
452,310624206,Under way using engine,8.7,316.6,320,Warship
453,548618517,Under way using engine,9.1,220.2,222,Bulk Carrier
454,270551210,Under way using engine,10.6,221.1,222,Bulk Carrier
455,328988225,Under way using engine,12.1,339.7,337,Cargo
456,580517884,Under way using engine,12.6,210.1,208,SAR
457,643009227,Under way using engine,15.1,161.8,162,Bulk Carrier
458,226376729,Under way using engine,10.1,342.5,348,Military
459,426943671,Under way using engine,9.6,265.9,270,SAR
460,367847654,Under way using engine,17.4,338.4,336,Tanker
461,192399497,Under way using engine,11.8,7.6,9,Bulk Carrier
462,813923077,Under way using engine,12.4,344.7,342,Warship
463,167172443,Under way using engine,11.7,338.5,338,Bulk Carrier
464,129278266,Under way using engine,7,263.5,265,Bulk Carrier
465,788699852,Under way using engine,10.4,330.7,326,Cargo
466,572077598,Under way using engine,9.4,213.4,218,SAR
467,512631469,Under way using engine,12.8,209.1,207,Bulk Carrier
468,947051385,Under way using engine,14.7,162.6,166,SAR
469,916272742,Constrained by her draught,12.4,341.1,342,Warship
470,785261133,Under way using engine,15.1,165.4,168,Bulk Carrier
471,267775020,Under way using engine,13.2,127.7,127,SAR
472,950125864,Under way using engine,14.2,164.4,166,Bulk Carrier
473,304471528,Under way using engine,15.2,47,47,Military
474,806539938,Under way using engine,11.7,338.2,337,Tanker
475,952071680,Under way using engine,13.2,32.5,33,Warship
476,468712961,Under way using engine,8.5,267,267,Military
477,912293206,Under way using engine,16.2,241.8,244,Military
478,657087370,Under way using engine,13.3,129.7,128,Tanker
479,502375948,Under way using engine,13.2,314.9,317,Tanker
480,787996978,Under way using engine,11.5,342,351,Military
481,715126800,Under way using engine,11.4,343,351,Cargo
482,674220986,Under way using engine,11.6,208,210,Warship
483,369639037,Under way using engine,12.3,343.8,340,Warship
484,736331643,Under way using engine,13.1,140.9,142,Military
485,959525363,Under way using engine,9.5,10.4,11,Cargo
486,463570384,Under way using engine,10.1,164,166,Tanker
487,409400881,Under way using engine,3.8,4.6,,Cargo
488,382698598,Constrained by her draught,12.6,340.7,338,Tanker
489,276561164,Under way using engine,15.2,47,47,SAR
490,950290956,Under way using engine,16.3,31,29,Warship
491,604074196,Under way using engine,13.1,141.1,142,Cargo
492,594999991,Under way using engine,8.8,221.6,221,Warship
493,927812182,Under way using engine,16.3,245.2,246,SAR
494,286658137,Under way using engine,11.2,186.3,184,Cargo
495,764986385,Under way using engine,16.1,32,30,Bulk Carrier
496,583855444,Under way using engine,12.7,211.5,211,Warship
497,563693002,Under way using engine,16.6,137.4,137,Bulk Carrier
498,677933052,Under way using engine,10.4,137.2,137,Military
499,844455983,Under way using engine,13,37.1,36,Warship
500,984010032,Under way using engine,9.5,160,163,Bulk Carrier
501,476681646,Under way using engine,12.2,154.9,154,Tanker
502,298748600,Under way using engine,12.5,5,4,Tanker
503,701238395,Under way using engine,11.5,164.4,165,Cargo
504,487146026,Under way using engine,12.9,139.7,139,Tanker
505,799699826,Under way using engine,10.2,221.1,223,Bulk Carrier
506,827929521,Under way using engine,11.9,340,343,Tanker
507,812639373,Under way using engine,10.4,137.3,137,Tanker
508,388188676,Under way using engine,15.4,345.6,343,Military
509,859935187,Under way using engine,14.1,213.3,215,Military
510,477037829,Under way using engine,14.4,165.1,167,Bulk Carrier
511,680522283,Under way using engine,10.5,132.6,130,Tanker
512,175676874,Under way using engine,9.4,8.4,11,Tanker
513,750978229,Under way using engine,12.4,343.6,340,SAR
514,813670005,Constrained by her draught,11.8,325.7,325,Bulk Carrier
515,459080272,Under way using engine,12.8,140.4,139,Tanker
516,730038433,Under way using engine,18,331.9,329,Tanker
517,902411725,Under way using engine,8.8,283.6,287,Military
518,354584279,Under way using engine,7.7,174.6,172,Cargo
519,737027106,Under way using engine,12.6,161.3,165,SAR
520,991548873,Under way using engine,12.1,337.6,338,Tanker
521,261780387,Under way using engine,17.7,161.6,162,Cargo
522,297259994,Under way using engine,8.3,347.3,347,Tanker
523,323782320,Under way using engine,9.7,35.7,39,Tanker
524,126799420,Under way using engine,14.3,214.5,214,Bulk Carrier
525,458363118,Under way using engine,13,317.8,318,Tanker
